group	taxa	abund	relative_abund
GRUPO_1	;;;;;;;;0	10	3.280473962878157e-5
GRUPO_1	Bacteria;;;;;;;;0.85	10	3.280473962878157e-5
GRUPO_1	Bacteria;;;;;;;;0.89	11	3.6085213591659724e-5
GRUPO_1	Bacteria;;;;;;;;0.9	107	3.5101071402796275e-4
GRUPO_1	Bacteria;;;;;;;;0.91	0	0
GRUPO_1	Bacteria;;;;;;;;0.92	6	1.968284377726894e-5
GRUPO_1	Bacteria;;;;;;;;0.93	0	0
GRUPO_1	Bacteria;;;;;;;;0.94	0	0
GRUPO_1	Bacteria;;;;;;;;0.95	32	1.0497516681210101e-4
GRUPO_1	Bacteria;;;;;;;;0.96	0	0
GRUPO_1	Bacteria;;;;;;;;0.97	0	0
GRUPO_1	Bacteria;;;;;;;;0.98	281	9.21813183568762e-4
GRUPO_1	Bacteria;;;;;;;;0.99	0	0
GRUPO_1	Bacteria;;;;;;;;1	277	9.086912877172494e-4
GRUPO_1	Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;;;1	5	1.6402369814390784e-5
GRUPO_1	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Acidipila-Silvibacterium;;;0.56	24	7.873137510907576e-5
GRUPO_1	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Bryocella;;;0.64	407	0.0013351529028914097
GRUPO_1	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Edaphobacter;;;0.93	87	2.8540123477039964e-4
GRUPO_1	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;;acidiphila;0.65	65	2.1323080758708018e-4
GRUPO_1	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;;;0.98	0	0
GRUPO_1	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;;roseus;0.95	45	1.4762132832951705e-4
GRUPO_1	Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;;tenax;0.7	474	0.0015549446584042462
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;;;;;;0.61	0	0
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;;;;;;1	0	0
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;efficiens;efficiens;0.59	18	5.904853133180682e-5
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;;;;0.55	0	0
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;;;;0.74	13	4.264616151741604e-5
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;radiotolerans;;0.62	87	2.8540123477039964e-4
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;rhizosphaerae;;0.53	75	2.4603554721586173e-4
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;;;0.89	0	0
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;;;;0.91	16	5.248758340605051e-5
GRUPO_1	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;;;;0.94	152	4.986320423574798e-4
